,tenure,PhoneService,Contract,MonthlyCharges,TotalCharges,Churn,Credit card (automatic),Electronic check,Mailed check,Total_tenure_ratio
137,64,1,2,20.2,1277.75,0,0,0,1,19.96484375
138,57,1,2,19.6,1170.55,0,0,0,1,20.5359649122807
139,1,1,0,70.45,70.45,1,0,0,1,70.45
140,72,1,2,88.05,6425.65,0,1,0,0,89.24513888888889
141,8,1,0,71.15,563.65,1,0,1,0,70.45625
142,61,1,2,101.05,5971.25,0,0,0,0,97.88934426229508
143,64,1,1,84.3,5289.05,0,1,0,0,82.64140625
144,71,1,2,23.95,1756.2,0,0,0,0,24.735211267605635
145,65,1,2,99.05,6416.7,0,1,0,0,98.71846153846154
146,3,1,1,19.6,61.35,0,0,0,1,20.45
147,1,1,0,45.65,45.65,1,0,1,0,45.65
148,30,1,1,64.5,1929.95,0,1,0,0,64.33166666666666
149,15,1,0,69.5,1071.4,0,0,0,1,71.42666666666668
150,8,1,0,68.55,564.35,0,0,1,0,70.54375
151,7,1,0,95.0,655.5,1,0,0,1,93.64285714285714
152,70,1,1,108.15,7930.55,0,1,0,0,113.29357142857143
153,62,1,2,86.1,5215.25,0,0,1,0,84.11693548387096
154,6,1,0,19.7,113.5,0,0,0,1,18.916666666666668
155,14,1,0,80.9,1152.8,0,0,0,0,82.34285714285714
156,22,1,0,84.15,1821.95,0,0,0,0,82.81590909090909
157,22,1,1,20.15,419.9,0,0,0,1,19.086363636363636
158,16,1,2,64.25,1024.0,0,0,0,1,64.0
159,10,1,2,25.7,251.6,0,0,0,0,25.16
160,13,1,0,56.0,764.55,0,0,1,0,58.81153846153846
161,20,1,0,82.4,1592.35,1,0,1,0,79.61749999999999
162,2,1,0,69.7,135.2,0,0,1,0,67.6
163,53,1,2,73.9,3958.25,0,0,0,0,74.68396226415095
164,11,1,1,20.6,233.9,0,0,0,1,21.263636363636365
165,69,1,2,19.9,1363.45,0,0,0,1,19.76014492753623
166,4,1,0,70.9,273.0,1,0,0,0,68.25
167,72,1,2,89.05,6254.45,0,0,0,0,86.86736111111111
168,58,0,0,45.3,2651.2,1,0,1,0,45.710344827586205
169,16,1,0,20.4,321.4,0,0,1,0,20.0875
170,43,1,1,84.25,3539.25,0,0,0,0,82.30813953488372
171,2,1,0,104.4,242.8,1,0,1,0,121.4
172,14,1,2,81.95,1181.75,0,0,0,1,84.41071428571429
173,53,1,1,94.85,5000.2,1,0,0,0,94.3433962264151
174,32,1,1,20.55,654.55,0,0,0,0,20.4546875
175,34,1,0,24.7,780.2,0,0,1,0,22.947058823529414
176,15,1,0,74.45,1145.7,1,0,0,1,76.38000000000001
177,7,1,0,76.45,503.6,1,0,0,0,71.94285714285715
178,15,1,0,105.35,1559.25,0,0,0,0,103.95
179,61,1,1,20.55,1252.0,0,1,0,0,20.524590163934427
180,1,0,0,29.95,29.95,1,0,0,0,29.95
181,1,1,0,45.3,45.3,0,0,0,1,45.3
182,8,1,0,84.5,662.65,1,0,0,0,82.83125
183,33,1,1,74.75,2453.3,0,1,0,0,74.34242424242424
184,13,1,0,79.25,1111.65,1,0,1,0,85.51153846153846
185,1,0,0,24.8,24.8,1,0,1,0,24.8
186,20,1,0,51.8,1023.85,0,0,0,1,51.1925
187,3,0,0,30.4,82.15,0,0,1,0,27.383333333333336
188,13,1,1,19.65,244.8,0,0,1,0,18.83076923076923
189,40,1,0,56.6,2379.1,0,1,0,0,59.4775
190,43,1,1,71.9,3173.35,0,1,0,0,73.79883720930232
191,6,1,0,91.0,531.0,1,0,1,0,88.5
192,69,1,2,19.75,1375.4,0,0,0,0,19.933333333333334
193,72,1,2,109.7,8129.3,0,1,0,0,112.90694444444445
194,59,1,2,19.3,1192.7,0,1,0,0,20.215254237288136
195,20,1,0,96.55,1901.65,0,0,1,0,95.08250000000001
196,24,1,2,24.1,587.4,0,0,0,0,24.474999999999998
197,59,1,0,111.35,6519.75,0,0,1,0,110.5042372881356
198,72,1,2,112.25,8041.65,0,0,0,0,111.68958333333333
199,1,1,0,20.75,20.75,0,0,0,1,20.75
200,27,1,1,101.9,2681.15,0,1,0,0,99.30185185185185
201,14,1,0,80.05,1112.3,0,1,0,0,79.45
202,71,1,2,105.55,7405.5,0,0,1,0,104.30281690140845
203,13,1,0,78.3,1033.95,0,1,0,0,79.53461538461539
204,44,1,0,68.85,2958.95,0,1,0,0,67.24886363636364
205,33,1,1,79.95,2684.85,0,0,0,0,81.35909090909091
206,72,0,2,55.45,4179.2,0,1,0,0,58.044444444444444
207,1,1,0,79.9,79.9,1,0,1,0,79.9
208,19,1,0,106.6,1934.45,1,0,1,0,101.81315789473685
209,64,1,1,102.45,6654.1,0,1,0,0,103.9703125
210,2,1,0,46.0,84.5,1,1,0,0,42.25
211,1,0,0,25.25,25.25,0,0,1,0,25.25
212,61,1,2,19.75,1124.2,0,0,0,1,18.42950819672131
213,29,1,1,20.0,540.05,0,0,1,0,18.622413793103448
214,23,1,0,86.8,1975.85,0,0,1,0,85.90652173913043
215,57,0,0,58.75,3437.45,0,0,0,0,60.30614035087719
216,72,0,2,45.25,3139.8,0,1,0,0,43.608333333333334
217,66,0,2,56.6,3789.2,0,0,0,0,57.41212121212121
218,65,1,2,84.2,5324.5,0,0,0,0,81.91538461538461
219,8,1,0,80.0,624.6,0,0,0,0,78.075
220,4,1,0,70.15,268.35,1,0,1,0,67.0875
221,71,1,2,24.75,1836.9,0,0,0,0,25.871830985915494
222,1,1,1,20.2,20.2,0,0,1,0,20.2
223,4,1,0,50.05,179.35,1,0,0,1,44.8375
224,12,1,1,19.35,219.35,0,0,0,0,18.279166666666665
225,24,0,1,50.6,1288.75,0,0,0,1,53.697916666666664
226,31,1,1,81.15,2545.75,0,0,0,1,82.12096774193549
227,1,1,0,55.2,55.2,1,0,0,1,55.2
228,30,1,0,89.9,2723.15,0,1,0,0,90.77166666666668
229,47,1,2,85.3,4107.25,0,1,0,0,87.38829787234043
230,54,1,2,108.0,5760.65,0,1,0,0,106.6787037037037
231,50,1,0,93.5,4747.5,0,1,0,0,94.95
232,1,1,0,84.6,84.6,1,0,0,1,84.6
233,72,1,2,20.25,1566.9,0,1,0,0,21.762500000000003
234,29,1,0,25.15,702.0,0,0,1,0,24.20689655172414
235,2,1,0,54.4,114.1,1,0,0,1,57.05
236,10,0,2,29.6,299.05,0,0,0,1,29.905
237,18,1,0,73.15,1305.95,0,0,1,0,72.55277777777778
238,11,1,0,95.0,1120.3,1,0,1,0,101.84545454545454
239,16,1,2,19.75,284.35,0,0,0,1,17.771875
240,72,1,2,86.6,6350.5,0,0,0,0,88.20138888888889
241,72,1,2,109.2,7878.3,0,0,0,0,109.42083333333333
242,41,1,1,74.7,3187.65,0,1,0,0,77.74756097560976
243,65,1,0,94.4,6126.15,0,0,1,0,94.24846153846153
244,13,1,0,54.8,731.3,0,0,1,0,56.25384615384615
245,4,1,0,75.35,273.4,0,0,1,0,68.35
246,41,1,1,65.0,2531.8,0,0,0,1,61.75121951219513
247,15,1,0,74.4,1074.3,1,0,1,0,71.61999999999999
248,1,1,0,48.55,48.55,1,0,0,1,48.55
249,42,1,1,99.0,4298.45,0,0,1,0,102.34404761904761
250,51,1,1,93.5,4619.55,0,0,1,0,90.57941176470588
251,2,1,0,70.4,147.15,1,0,1,0,73.575
252,1,0,0,40.2,40.2,1,0,1,0,40.2
253,32,1,1,83.7,2633.3,0,1,0,0,82.290625
254,10,1,0,19.85,193.05,0,0,0,1,19.305
255,67,0,2,59.55,4103.9,0,0,1,0,61.252238805970144
256,61,1,2,115.1,7008.15,0,1,0,0,114.88770491803278
257,50,1,1,114.35,5791.1,0,1,0,0,115.822
258,2,1,0,44.6,80.55,1,1,0,0,40.275
259,29,0,0,45.0,1228.65,0,0,1,0,42.36724137931035
260,3,0,0,41.15,132.2,1,0,1,0,44.06666666666666
261,13,1,0,106.9,1364.3,1,0,1,0,104.94615384615385
262,57,1,0,89.85,4925.35,0,0,1,0,86.40964912280702
263,31,0,2,49.85,1520.1,0,0,0,0,49.03548387096774
264,45,1,1,113.3,5032.25,0,0,0,1,111.82777777777778
265,61,1,2,88.1,5526.75,0,0,0,1,90.60245901639344
266,50,1,2,24.9,1195.25,0,0,0,0,23.905
267,19,1,0,105.0,2007.25,0,0,0,1,105.64473684210526
268,59,1,2,19.35,1099.6,1,0,0,1,18.63728813559322
269,71,1,2,24.25,1732.95,0,1,0,0,24.40774647887324
270,16,1,0,94.45,1511.2,1,0,1,0,94.45
271,57,1,2,59.75,3450.15,0,0,1,0,60.52894736842106
272,1,0,0,24.8,24.8,1,0,0,0,24.8
273,20,1,0,107.05,2172.05,0,0,1,0,108.6025
274,1,1,0,70.6,70.6,1,0,0,1,70.6
275,5,1,0,85.4,401.1,1,0,1,0,80.22
276,52,1,0,105.05,5624.85,1,0,1,0,108.17019230769232
277,21,1,0,64.95,1339.8,0,0,0,0,63.8
278,14,0,0,55.0,771.95,0,0,1,0,55.13928571428572
279,5,1,0,50.55,244.75,0,0,0,0,48.95
280,6,1,0,55.15,322.9,0,0,0,1,53.81666666666666
281,10,1,0,51.2,498.25,0,0,1,0,49.825
282,1,1,0,25.4,25.4,0,0,0,1,25.4
283,68,1,0,54.45,3687.75,0,0,0,1,54.231617647058826
284,18,1,0,95.15,1779.95,1,0,0,1,98.88611111111112
285,22,1,1,76.0,1783.6,0,1,0,0,81.07272727272726
286,20,1,0,44.35,927.15,0,0,1,0,46.3575
287,1,1,0,70.0,70.0,1,0,1,0,70.0
288,8,1,0,74.5,606.55,1,0,1,0,75.81875
289,10,1,0,44.85,435.4,1,1,0,0,43.54
290,24,1,0,76.1,1712.7,1,0,1,0,71.3625
291,35,1,1,61.2,2021.2,0,0,0,1,57.74857142857143
292,23,1,1,86.8,1940.8,0,0,0,1,84.38260869565217
293,6,1,0,89.35,567.8,0,0,1,0,94.63333333333333
294,12,1,0,19.7,220.35,0,0,0,1,18.3625
295,1,1,0,20.25,20.25,0,0,0,1,20.25
296,71,1,2,76.05,5436.45,0,0,1,0,76.56971830985916
297,35,1,0,100.8,3437.5,0,0,1,0,98.21428571428571
298,40,1,0,74.55,3015.75,0,0,1,0,75.39375
299,1,1,0,73.6,73.6,1,0,0,1,73.6
300,23,1,1,64.9,1509.8,0,0,0,0,65.64347826086956
301,4,1,0,95.45,396.1,1,0,1,0,99.025
302,4,1,0,90.4,356.65,0,0,1,0,89.1625
303,68,0,2,60.3,4109.0,0,1,0,0,60.4264705882353
304,38,1,0,81.85,3141.7,0,0,0,1,82.67631578947368
305,52,1,2,24.8,1229.1,0,0,0,1,23.63653846153846
306,32,1,0,74.9,2303.35,1,0,1,0,71.9796875
307,29,1,2,75.55,2054.4,0,0,0,1,70.84137931034483
308,38,1,0,101.15,3741.85,0,0,1,0,98.46973684210526
309,48,1,1,78.75,3682.45,0,1,0,0,76.71770833333333
310,1,1,0,19.25,19.25,0,0,0,0,19.25
311,22,1,0,89.05,1886.25,0,0,1,0,85.73863636363636
312,43,1,2,115.05,4895.1,0,1,0,0,113.83953488372094
313,5,1,0,69.35,341.6,0,0,1,0,68.32000000000001
314,5,1,0,80.6,415.55,1,0,1,0,83.11
315,51,1,1,110.05,5686.4,0,1,0,0,111.49803921568626
316,71,1,2,19.9,1355.1,0,1,0,0,19.085915492957746
317,38,1,1,80.3,3058.65,1,1,0,0,80.49078947368422
318,24,1,0,93.15,2231.05,1,0,1,0,92.96041666666667
319,35,1,0,91.5,3236.35,0,1,0,0,92.46714285714286
320,54,1,1,82.45,4350.1,1,0,0,0,80.55740740740741
321,72,0,2,60.0,4264.0,0,0,1,0,59.22222222222222
322,1,1,0,44.8,44.8,0,0,1,0,44.8
323,9,1,1,48.6,422.3,0,0,0,1,46.922222222222224
324,69,0,2,60.05,4176.7,0,0,0,0,60.53188405797101
325,52,1,0,102.7,5138.1,0,1,0,0,98.8096153846154
326,11,1,0,82.9,880.05,0,0,1,0,80.00454545454545
327,2,1,0,70.35,139.05,1,0,1,0,69.525
328,28,0,0,35.9,973.65,0,0,1,0,34.77321428571428
329,17,1,0,82.65,1470.05,0,1,0,0,86.4735294117647
330,35,1,2,19.85,739.35,0,0,0,1,21.124285714285715
331,8,1,1,19.2,161.95,0,0,0,1,20.24375
332,46,1,1,94.9,4422.95,0,1,0,0,96.15108695652174
333,7,1,0,73.85,511.25,1,0,1,0,73.03571428571429
334,2,1,0,80.6,155.8,1,0,0,1,77.9
335,68,1,1,75.8,5293.95,1,0,0,0,77.85220588235293
336,43,1,2,104.6,4759.85,1,0,1,0,110.69418604651163
337,68,1,2,88.15,6148.45,0,0,1,0,90.41838235294118
338,36,1,0,94.8,3565.65,0,1,0,0,99.04583333333333
339,63,1,0,103.4,6603.0,1,0,1,0,104.80952380952381
340,32,1,0,54.65,1830.1,0,0,0,0,57.190625
341,71,1,2,85.75,6223.8,0,1,0,0,87.65915492957747
342,66,1,0,67.45,4508.65,0,0,0,0,68.31287878787879
343,63,1,1,20.5,1328.15,0,0,0,1,21.081746031746032
344,41,1,1,20.25,865.0,0,1,0,0,21.097560975609756
345,1,1,0,72.1,72.1,0,0,1,0,72.1
346,2,1,0,90.4,168.2,1,0,1,0,84.1
347,70,1,2,19.45,1303.5,0,0,0,0,18.62142857142857
348,23,0,0,44.95,996.85,0,0,1,0,43.34130434782609
349,64,1,1,97.0,6430.9,0,0,0,0,100.4828125
350,37,1,2,62.8,2278.75,0,1,0,0,61.58783783783784
351,17,1,1,44.6,681.4,0,0,0,1,40.08235294117647
352,7,1,0,89.15,574.35,0,0,1,0,82.05
353,4,1,0,84.8,371.9,1,0,0,0,92.975
354,21,0,0,41.9,840.1,1,0,1,0,40.00476190476191
355,10,1,0,80.25,846.0,1,0,0,0,84.6
356,16,1,0,54.1,889.0,0,0,1,0,55.5625
357,64,1,2,105.25,6823.4,0,0,1,0,106.615625
358,27,0,0,30.75,805.1,1,1,0,0,29.81851851851852
359,42,1,1,97.1,4016.75,0,0,1,0,95.63690476190476
360,5,1,0,20.2,83.75,0,0,0,1,16.75
361,41,1,2,98.8,3959.15,0,0,0,0,96.56463414634146
362,58,1,1,50.3,2878.55,0,1,0,0,49.630172413793105
363,47,1,2,20.55,945.7,0,0,0,1,20.121276595744682
364,18,1,0,75.9,1373.05,0,0,0,0,76.28055555555555
365,5,1,0,96.5,492.55,1,0,0,0,98.51
366,23,1,0,59.95,1406.0,0,0,0,0,61.130434782608695
367,1,1,0,19.15,19.15,0,0,0,1,19.15
368,71,1,1,98.65,6962.85,0,1,0,0,98.06830985915494
369,72,1,2,112.6,8126.65,0,1,0,0,112.87013888888889
370,33,1,1,20.6,690.25,0,0,0,1,20.916666666666668
371,2,1,0,85.65,181.5,1,0,1,0,90.75
372,24,0,2,35.75,830.8,0,0,0,1,34.61666666666667
373,56,1,1,99.75,5608.4,0,1,0,0,100.14999999999999
374,37,1,0,96.1,3646.8,0,1,0,0,98.56216216216217
375,43,1,1,85.1,3662.25,0,1,0,0,85.1686046511628
376,1,0,0,25.35,25.35,0,0,0,1,25.35
377,25,1,0,104.95,2566.5,1,0,0,0,102.66
378,61,1,2,89.65,5308.7,0,0,1,0,87.02786885245901
379,17,1,1,86.75,1410.25,0,0,1,0,82.95588235294117
380,41,1,1,86.2,3339.05,0,0,0,0,81.44024390243902
381,1,1,0,50.65,50.65,1,0,0,1,50.65
382,72,0,2,64.8,4732.35,0,0,0,0,65.72708333333334
383,1,1,0,90.85,90.85,1,1,0,0,90.85
384,48,1,2,108.1,5067.45,0,0,0,0,105.57187499999999
385,11,1,0,19.95,214.75,1,0,0,1,19.522727272727273
386,55,1,0,85.45,4874.7,1,0,1,0,88.63090909090909
387,42,0,1,54.75,2348.45,0,0,1,0,55.915476190476184
388,44,1,0,90.4,4063.0,0,0,0,1,92.3409090909091
389,1,1,0,44.0,44.0,0,0,1,0,44.0
390,27,1,0,95.6,2595.25,0,0,0,0,96.12037037037037
391,27,1,0,84.8,2309.55,0,0,0,0,85.53888888888889
392,2,1,0,44.3,89.3,0,0,1,0,44.65
393,19,1,0,19.9,367.55,0,0,0,1,19.344736842105263
394,42,1,0,95.05,3944.5,0,0,1,0,93.91666666666667
395,66,1,2,90.05,5965.95,0,1,0,0,90.39318181818182
396,33,1,0,109.9,3694.7,0,0,0,0,111.96060606060605
397,34,1,0,73.95,2524.45,1,1,0,0,74.24852941176471
398,33,0,0,54.6,1803.7,0,0,1,0,54.657575757575756
399,23,1,1,20.05,415.1,0,0,0,1,18.047826086956523
400,32,1,1,19.75,624.15,0,0,0,0,19.5046875
401,11,1,1,20.05,237.7,0,1,0,0,21.60909090909091
402,69,1,0,99.45,7007.6,1,1,0,0,101.55942028985508
403,68,1,1,55.9,3848.8,0,0,0,0,56.6
404,20,1,2,19.7,419.4,0,0,0,1,20.97
405,72,1,2,19.8,1468.75,0,1,0,0,20.399305555555557
406,60,1,1,95.4,5812.0,0,0,0,0,96.86666666666666
407,32,1,0,93.95,2861.45,0,0,0,1,89.4203125
408,1,1,0,19.9,19.9,1,0,0,1,19.9
409,1,1,0,19.6,19.6,1,0,0,1,19.6
410,3,1,0,81.35,233.7,1,0,1,0,77.89999999999999
411,46,1,1,24.45,1066.15,0,0,0,0,23.17717391304348
412,29,1,0,74.95,2149.05,0,0,1,0,74.10517241379311
413,51,1,0,87.35,4473.0,0,0,1,0,87.70588235294117
414,48,1,0,70.65,3545.05,0,0,0,0,73.85520833333334
415,16,1,0,73.25,1195.75,0,0,0,0,74.734375
416,70,1,2,98.7,6858.9,0,0,0,0,97.9842857142857
417,40,1,2,24.8,1024.7,0,0,0,1,25.6175
418,22,1,0,83.3,1845.9,1,0,1,0,83.90454545454546
419,1,1,0,75.3,75.3,1,0,0,0,75.3
420,5,1,0,24.3,132.25,0,0,0,1,26.45
421,7,1,0,69.85,515.45,0,0,0,0,73.63571428571429
422,29,1,1,100.55,2830.45,0,1,0,0,97.60172413793103
423,44,1,1,25.7,1110.5,0,0,0,1,25.238636363636363
424,10,0,0,40.7,449.3,0,0,0,0,44.93
425,55,1,0,51.65,2838.55,0,0,0,0,51.61000000000001
426,52,1,1,105.1,5376.4,0,0,0,0,103.39230769230768
427,10,1,0,85.95,858.6,0,0,1,0,85.86
428,18,1,0,75.6,1395.05,0,0,0,0,77.50277777777778
429,68,1,1,58.25,3975.7,0,0,0,0,58.46617647058823
430,61,1,0,19.4,1182.55,1,0,0,1,19.38606557377049
431,72,0,2,65.2,4784.45,0,1,0,0,66.45069444444444
432,2,1,0,53.45,119.5,0,0,1,0,59.75
433,12,1,0,45.4,518.9,1,0,0,0,43.24166666666667
434,41,1,2,19.75,899.45,0,0,1,0,21.93780487804878
435,26,0,0,44.45,1183.8,0,1,0,0,45.53076923076923
436,36,1,1,20.85,720.05,0,0,0,0,20.001388888888886
437,72,1,2,114.05,8468.2,0,1,0,0,117.6138888888889
438,35,1,0,89.85,3161.2,0,0,0,0,90.32
439,1,1,0,55.05,55.05,0,0,0,1,55.05
440,16,1,0,112.95,1882.55,0,0,1,0,117.659375
441,49,1,0,101.55,5070.4,0,1,0,0,103.47755102040816
